RecordId,Timestamp,socket0-package-power
898,11:22:4:241,   63.28
899,11:22:4:341,   62.68
900,11:22:4:441,   63.26
901,11:22:4:541,   63.26
902,11:22:4:641,   63.46
903,11:22:4:741,   63.34
904,11:22:4:841,   63.37
905,11:22:4:941,   62.72
906,11:22:5:041,   63.73
907,11:22:5:141,   63.48
908,11:22:5:241,   63.46
909,11:22:5:341,   63.43
910,11:22:5:441,   62.78
911,11:22:5:541,   63.40
912,11:22:5:641,   63.47
913,11:22:5:741,   63.31
914,11:22:5:841,   63.28
915,11:22:5:941,   62.67
916,11:22:6:041,   63.29
917,11:22:6:141,   63.42
918,11:22:6:241,   63.32
919,11:22:6:341,   63.30
920,11:22:6:441,   62.67
921,11:22:6:541,   63.29
922,11:22:6:641,   63.49
923,11:22:6:741,   63.32
924,11:22:6:841,   63.36
925,11:22:6:941,   63.32
